iter	Passed	Remaining
0	1	106
1	2	99
2	2	92
3	3	90
4	4	87
5	5	86
6	6	85
7	7	85
8	8	86
9	10	91
10	11	89
11	12	89
12	13	87
13	14	86
14	14	84
15	15	83
16	17	83
17	18	82
18	18	80
19	19	79
20	20	78
21	22	78
22	23	77
23	24	76
24	25	77
25	26	76
26	28	78
27	30	77
28	31	75
29	32	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	68
35	38	67
36	39	66
37	40	66
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	57
44	46	56
45	47	55
46	47	54
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	68	26
72	69	25
73	70	24
74	70	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	77	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	83	8
91	83	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	88	1
98	89	0
99	90	0
